id,productId,userId,supplierId,transactionType,totalProducts,totalPrice,discount,promotion,saleDate,status,createdAt
TX1,PROD3,USR6,,SALE,4,146.8,0.0,False,2024-01-01,COMPLETED,2026-01-10T22:15:11.552129
TX2,PROD19,USR4,,SALE,1,18.18,0.0,False,2024-01-01,COMPLETED,2026-01-10T22:15:11.552154
TX3,PROD8,USR2,SUP1,PURCHASE,7,161.7,0.0,False,2024-01-01,RECEIVED,2026-01-10T22:15:11.552169
TX4,PROD17,USR4,,SALE,4,102.88,0.0,False,2024-01-01,COMPLETED,2026-01-10T22:15:11.552181
TX5,PROD18,USR3,SUP6,PURCHASE,23,3109.14,0.0,False,2024-01-01,RECEIVED,2026-01-10T22:15:11.552197
TX6,PROD19,USR8,SUP2,PURCHASE,18,327.24,0.0,False,2024-01-01,RECEIVED,2026-01-10T22:15:11.552214
TX7,PROD4,USR2,,SALE,7,694.61,0.0,False,2024-01-02,COMPLETED,2026-01-10T22:15:11.552237
TX8,PROD14,USR8,,SALE,2,209.56,0.0,False,2024-01-02,COMPLETED,2026-01-10T22:15:11.552251
TX9,PROD2,USR7,,SALE,2,206.24,0.0,False,2024-01-02,COMPLETED,2026-01-10T22:15:11.552261
TX10,PROD8,USR4,,SALE,3,69.3,0.0,False,2024-01-02,COMPLETED,2026-01-10T22:15:11.552271
TX11,PROD14,USR3,,SALE,2,209.56,0.0,False,2024-01-02,COMPLETED,2026-01-10T22:15:11.552281
TX12,PROD15,USR9,,SALE,1,124.16,0.0,False,2024-01-02,COMPLETED,2026-01-10T22:15:11.552291
TX13,PROD30,USR4,,SALE,8,473.2,0.0,False,2024-01-03,COMPLETED,2026-01-10T22:15:11.552304
TX14,PROD7,USR7,,SALE,1,127.89,0.0,False,2024-01-03,COMPLETED,2026-01-10T22:15:11.552313
TX15,PROD13,USR5,,SALE,8,659.6,0.0,False,2024-01-03,COMPLETED,2026-01-10T22:15:11.552324
TX16,PROD5,USR4,,SALE,1,122.37,0.0,False,2024-01-03,COMPLETED,2026-01-10T22:15:11.552333
TX17,PROD24,USR9,,SALE,1,48.27,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552344
TX18,PROD2,USR10,,SALE,3,309.36,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552353
TX19,PROD2,USR9,SUP1,PURCHASE,7,721.84,0.0,False,2024-01-04,RECEIVED,2026-01-10T22:15:11.552363
TX20,PROD20,USR2,SUP6,PURCHASE,17,1125.57,0.0,False,2024-01-04,RECEIVED,2026-01-10T22:15:11.552372
TX21,PROD4,USR10,,SALE,1,99.23,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552382
TX22,PROD20,USR2,,SALE,6,397.26,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552391
TX23,PROD30,USR5,,SALE,6,354.9,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552400
TX24,PROD8,USR5,,SALE,5,115.5,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552409
TX25,PROD15,USR6,,SALE,2,248.32,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552418
TX26,PROD3,USR9,,SALE,3,110.1,0.0,False,2024-01-04,COMPLETED,2026-01-10T22:15:11.552428
TX27,PROD30,USR6,SUP1,PURCHASE,16,946.4,0.0,False,2024-01-04,RECEIVED,2026-01-10T22:15:11.552437
TX28,PROD10,USR3,SUP4,PURCHASE,14,1412.32,0.0,False,2024-01-04,RECEIVED,2026-01-10T22:15:11.552447
TX29,PROD26,USR9,,SALE,5,698.6,0.0,False,2024-01-05,COMPLETED,2026-01-10T22:15:11.552458
TX30,PROD30,USR2,,SALE,2,118.3,0.0,False,2024-01-05,COMPLETED,2026-01-10T22:15:11.552467
TX31,PROD24,USR9,,SALE,4,193.08,0.0,False,2024-01-05,COMPLETED,2026-01-10T22:15:11.552477
TX32,PROD23,USR6,,SALE,5,27.35,0.0,False,2024-01-05,COMPLETED,2026-01-10T22:15:11.552486
TX33,PROD17,USR8,SUP3,PURCHASE,6,154.32,0.0,False,2024-01-05,RECEIVED,2026-01-10T22:15:11.552495
TX34,PROD3,USR7,,SALE,6,220.2,0.0,False,2024-01-05,COMPLETED,2026-01-10T22:15:11.552505
